"src_classLabels","mean_kDN","counts","sd_kDN","median_kDN","perm_id","model","group_sampling_id"
"dsDNA viruses, no RNA stage",61.0806451612903,62,2.93256664339057,61,5,"null",-1
"dsRNA viruses",52.1129032258064,62,3.16800003472055,52,5,"null",-1
"ssDNA viruses",54.2903225806452,62,3.49888552173915,54.5,5,"null",-1
"ssRNA viruses",47.741935483871,62,4.20357179843783,47.5,5,"null",-1
"dsDNA viruses, no RNA stage",61.1290322580645,62,3.01626123454318,61,6,"null",-1
"dsRNA viruses",51.5806451612903,62,3.87741838694707,52,6,"null",-1
"ssDNA viruses",54.2258064516129,62,3.7391125222074,54,6,"null",-1
"ssRNA viruses",48.9193548387097,62,3.86365318971385,49,6,"null",-1
"dsDNA viruses, no RNA stage",60.8387096774194,62,2.90952955685277,61,7,"null",-1
"dsRNA viruses",52.3225806451613,62,4.02766740266677,53,7,"null",-1
"ssDNA viruses",54.3387096774194,62,3.99156302179409,55,7,"null",-1
"ssRNA viruses",48.2903225806452,62,4.03828845734522,48,7,"null",-1
"dsDNA viruses, no RNA stage",60.6935483870968,62,3.490449309597,60,8,"null",-1
"dsRNA viruses",51.7741935483871,62,3.61880042998904,52,8,"null",-1
"ssDNA viruses",54.1935483870968,62,3.35270240731958,54,8,"null",-1
"ssRNA viruses",48.4032258064516,62,4.74414108869952,49,8,"null",-1
"dsDNA viruses, no RNA stage",60.7258064516129,62,2.89243986201399,61,9,"null",-1
"dsRNA viruses",51.8870967741936,62,4.50538780816442,52,9,"null",-1
"ssDNA viruses",53.6290322580645,62,3.58152761147101,54,9,"null",-1
"ssRNA viruses",48.1612903225806,62,4.02122870214898,48,9,"null",-1
"dsDNA viruses, no RNA stage",60.9193548387097,62,2.80104422622551,61,10,"null",-1
"dsRNA viruses",52.6451612903226,62,3.6846904098149,52,10,"null",-1
"ssDNA viruses",53.6451612903226,62,3.99219227416301,54,10,"null",-1
"ssRNA viruses",48.2903225806452,62,4.34340312588044,48,10,"null",-1
"dsDNA viruses, no RNA stage",57.6612903225806,62,3.43532062782652,58,1,"null",-1
