"src_classLabels","mean_kDN","counts","sd_kDN","median_kDN","perm_id","model","group_sampling_id"
"Clostridia",62.609022556391,266,2.81058534550989,63,2,"null",-1
"Gammaproteobacteria",58.9398496240602,266,3.19258432845287,59,2,"null",-1
"Actinobacteria",58.2593984962406,266,3.48641650038925,58,3,"null",-1
"Alphaproteobacteria",58.1015037593985,266,3.20627886268004,58,3,"null",-1
"Bacilli",59.1203007518797,266,3.39819617851847,59,3,"null",-1
"Betaproteobacteria",62.7218045112782,266,3.02156621503296,63,3,"null",-1
"Clostridia",62.6954887218045,266,2.74056500610778,63,3,"null",-1
"Gammaproteobacteria",59.1127819548872,266,3.18049274772238,59,3,"null",-1
"Actinobacteria",58.2781954887218,266,3.33274974794008,58.5,4,"null",-1
"Alphaproteobacteria",58.0639097744361,266,3.53308541936193,58,4,"null",-1
"Bacilli",59.1428571428571,266,3.22172544218123,59,4,"null",-1
"Betaproteobacteria",62.9887218045113,266,2.85165702601371,63,4,"null",-1
"Clostridia",63.0075187969925,266,2.85365370722823,63,4,"null",-1
"Gammaproteobacteria",59.0751879699248,266,3.34691986848257,59,4,"null",-1
"Actinobacteria",58.1691729323308,266,3.38441891450356,58,5,"null",-1
"Alphaproteobacteria",57.8684210526316,266,3.56735446442821,58,5,"null",-1
"Bacilli",59.0413533834586,266,3.17926365794414,59,5,"null",-1
"Betaproteobacteria",62.9511278195489,266,2.58030615534254,63,5,"null",-1
"Clostridia",62.5864661654135,266,3.15421926362164,63,5,"null",-1
"Gammaproteobacteria",58.781954887218,266,3.14393899279391,59,5,"null",-1
"Actinobacteria",57.906015037594,266,3.41398366099032,58,6,"null",-1
"Alphaproteobacteria",58.1691729323308,266,3.5710509092418,59,6,"null",-1
"Bacilli",58.8947368421053,266,3.07335022875685,59,6,"null",-1
"Betaproteobacteria",62.9736842105263,266,2.81291884225412,63,6,"null",-1
"Clostridia",62.8233082706767,266,2.58347103698691,63,6,"null",-1
"Gammaproteobacteria",59.1541353383459,266,2.97199535991399,59,6,"null",-1
"Actinobacteria",58.1691729323308,266,3.28713169573047,58,7,"null",-1
"Alphaproteobacteria",57.7932330827068,266,3.42445578629071,58,7,"null",-1
"Bacilli",59.0300751879699,266,3.18709627024897,59,7,"null",-1
"Betaproteobacteria",62.7406015037594,266,2.77937247142968,63,7,"null",-1
"Clostridia",62.8496240601504,266,2.65215111155327,63,7,"null",-1
"Gammaproteobacteria",59.203007518797,266,3.05239627115643,59,7,"null",-1
"Actinobacteria",58.0902255639098,266,3.62997717465986,58,8,"null",-1
"Alphaproteobacteria",58.1616541353383,266,3.4901742791434,58.5,8,"null",-1
"Bacilli",58.9097744360902,266,3.2988474753935,59,8,"null",-1
"Betaproteobacteria",62.6240601503759,266,2.85393208724952,63,8,"null",-1
"Clostridia",62.5037593984962,266,3.32769751017892,63,8,"null",-1
"Gammaproteobacteria",58.7894736842105,266,3.17074512182969,59,8,"null",-1
"Actinobacteria",58.3233082706767,266,3.29562058674545,58,9,"null",-1
"Alphaproteobacteria",58.0413533834586,266,3.46112922612432,58.5,9,"null",-1
"Bacilli",58.8045112781955,266,3.27473725661652,59,9,"null",-1
"Betaproteobacteria",62.8496240601504,266,2.9034689482768,63,9,"null",-1
"Clostridia",63.1203007518797,266,2.96657503804923,63,9,"null",-1
"Gammaproteobacteria",59.1917293233083,266,3.37203919296773,59,9,"null",-1
"Actinobacteria",58.2669172932331,266,3.45867728680573,59,10,"null",-1
"Alphaproteobacteria",57.9962406015038,266,3.43620910065175,58,10,"null",-1
"Bacilli",58.9812030075188,266,3.30288953827231,59,10,"null",-1
"Betaproteobacteria",62.6165413533835,266,2.98858660229472,63,10,"null",-1
"Clostridia",62.6052631578947,266,2.71095097954675,63,10,"null",-1
"Gammaproteobacteria",58.5037593984962,266,3.56952311206313,59,10,"null",-1
"Actinobacteria",58.093984962406,266,3.39736322614157,58,1,"null",-1
"Alphaproteobacteria",57.9624060150376,266,3.32493385387483,58,1,"null",-1
"Bacilli",59.0037593984962,266,3.40199510864595,59,1,"null",-1
"Betaproteobacteria",62.718045112782,266,2.54013324821984,63,1,"null",-1
"Clostridia",63.1353383458647,266,2.90940428289306,63,1,"null",-1
"Gammaproteobacteria",60.0225563909774,266,3.26089735401344,60,1,"null",-1
"Actinobacteria",58.109022556391,266,3.34654896638238,58,2,"null",-1
"Alphaproteobacteria",57.6654135338346,266,3.10278134783864,58,2,"null",-1
"Bacilli",58.7857142857143,266,3.27758868698898,59,2,"null",-1
"Betaproteobacteria",62.9511278195489,266,2.6722647180291,63,2,"null",-1
"Clostridia",62.6766917293233,266,2.95257833517848,63,2,"null",-1
"Gammaproteobacteria",59.6654135338346,266,3.32697483105263,60,2,"null",-1
"Actinobacteria",58.0375939849624,266,3.37002550807791,58,3,"null",-1
"Alphaproteobacteria",57.7744360902256,266,3.38947659198264,58,3,"null",-1
"Bacilli",59.0864661654135,266,3.13170715888947,59,3,"null",-1
"Betaproteobacteria",63.1052631578947,266,2.8477416617376,63,3,"null",-1
"Clostridia",62.6616541353383,266,2.83478984757711,63,3,"null",-1
"Gammaproteobacteria",59.8421052631579,266,3.04021375927506,60,3,"null",-1
"Actinobacteria",57.7218045112782,266,3.39334172346464,58,4,"null",-1
"Alphaproteobacteria",57.8195488721804,266,3.1618828555059,58,4,"null",-1
"Bacilli",58.9661654135338,266,3.02486269061315,59,4,"null",-1
"Betaproteobacteria",63.1654135338346,266,2.8607439357762,63,4,"null",-1
"Clostridia",62.8609022556391,266,2.80151804095676,63,4,"null",-1
"Gammaproteobacteria",59.8872180451128,266,3.03104474258006,60,4,"null",-1
"Actinobacteria",57.6654135338346,266,3.50698591467131,58,5,"null",-1
"Alphaproteobacteria",57.812030075188,266,3.60534273552481,58,5,"null",-1
"Bacilli",58.9924812030075,266,3.13108876259808,59,5,"null",-1
"Betaproteobacteria",62.9022556390977,266,2.8039450958319,63,5,"null",-1
"Clostridia",62.5413533834586,266,3.02196057363612,63,5,"null",-1
"Gammaproteobacteria",60.0112781954887,266,3.13529280954116,60,5,"null",-1
"Actinobacteria",57.9511278195489,266,3.59788442117431,58,6,"null",-1
"Alphaproteobacteria",57.7443609022556,266,3.38510418521052,58,6,"null",-1
"Bacilli",58.8308270676692,266,3.49737757175509,59,6,"null",-1
"Betaproteobacteria",62.984962406015,266,2.83371870458141,63,6,"null",-1
"Clostridia",62.6503759398496,266,2.77487716022932,63,6,"null",-1
"Gammaproteobacteria",60.312030075188,266,3.05737679136463,60,6,"null",-1
"Actinobacteria",58.0676691729323,266,3.47648811893322,58,7,"null",-1
"Alphaproteobacteria",57.5263157894737,266,3.25652656112259,57,7,"null",-1
"Bacilli",59.0225563909774,266,3.32393530217339,59,7,"null",-1
"Betaproteobacteria",62.9473684210526,266,2.94814502465453,63,7,"null",-1
"Clostridia",62.4624060150376,266,2.99062942838559,63,7,"null",-1
"Gammaproteobacteria",59.9097744360902,266,3.27704111043712,60,7,"null",-1
"Actinobacteria",58.2330827067669,266,3.41116306850409,58,8,"null",-1
"Alphaproteobacteria",58.0526315789474,266,3.01146435757777,58,8,"null",-1
"Bacilli",58.9511278195489,266,3.24261987116645,59,8,"null",-1
"Betaproteobacteria",62.9774436090226,266,2.8310039966209,63,8,"null",-1
"Clostridia",62.7067669172932,266,2.90680906522837,63,8,"null",-1
"Gammaproteobacteria",59.9135338345865,266,3.292651210376,60,8,"null",-1
"Actinobacteria",58.0639097744361,266,3.47927206322556,58,9,"null",-1
"Alphaproteobacteria",57.8421052631579,266,3.39554003877374,58,9,"null",-1
"Bacilli",58.8872180451128,266,3.28554096022763,59,9,"null",-1
"Betaproteobacteria",62.8834586466165,266,2.77684986314248,63,9,"null",-1
"Clostridia",62.6729323308271,266,2.83811332015568,63,9,"null",-1
"Gammaproteobacteria",60.0187969924812,266,3.28225992959499,60,9,"null",-1
"Actinobacteria",57.890977443609,266,3.53197702179787,58,10,"null",-1
"Alphaproteobacteria",57.8045112781955,266,3.15740195710655,58,10,"null",-1
"Bacilli",58.8533834586466,266,3.43526767235196,59,10,"null",-1
"Betaproteobacteria",62.7669172932331,266,2.89537619166266,63,10,"null",-1
"Clostridia",62.6466165413534,266,2.91177308031936,63,10,"null",-1
"Gammaproteobacteria",60.0112781954887,266,3.39086796113656,60,10,"null",-1
"Actinobacteria",58.6353383458647,266,3.40234537283232,58.5,1,"null",-1
"Alphaproteobacteria",57,266,3.40144253527157,57,1,"null",-1
"Bacilli",58.593984962406,266,3.26568804385431,59,1,"null",-1
"Betaproteobacteria",62.6052631578947,266,2.7317508599203,63,1,"null",-1
"Clostridia",62.8421052631579,266,2.81060553540875,63,1,"null",-1
"Gammaproteobacteria",60.1052631578947,266,3.06966449618942,60,1,"null",-1
"Actinobacteria",58.9699248120301,266,3.20009398358226,59,2,"null",-1
"Alphaproteobacteria",57.0639097744361,266,3.74665311466647,57,2,"null",-1
"Bacilli",58.8571428571429,266,3.40397737868646,59,2,"null",-1
"Betaproteobacteria",62.7593984962406,266,2.94772154016239,63,2,"null",-1
"Clostridia",63.1729323308271,266,2.76231043080938,63,2,"null",-1
"Gammaproteobacteria",59.8684210526316,266,3.04209134670021,60,2,"null",-1
"Actinobacteria",58.7857142857143,266,3.29252195264137,59,3,"null",-1
"Alphaproteobacteria",56.9172932330827,266,3.26801564113011,57,3,"null",-1
"Bacilli",58.1729323308271,266,3.28061494050375,58,3,"null",-1
"Betaproteobacteria",62.4323308270677,266,2.68558834064781,62,3,"null",-1
"Clostridia",62.6541353383459,266,2.67354647593284,63,3,"null",-1
"Gammaproteobacteria",60.0263157894737,266,3.25217824796005,60,3,"null",-1
"Actinobacteria",58.7857142857143,266,3.13398035796286,59,4,"null",-1
"Alphaproteobacteria",56.6390977443609,266,3.53171794396056,57,4,"null",-1
"Bacilli",59.0263157894737,266,3.01619264528737,59,4,"null",-1
"Betaproteobacteria",62.7368421052632,266,2.78105378925845,63,4,"null",-1
"Clostridia",63.1052631578947,266,2.80367187242417,63,4,"null",-1
"Gammaproteobacteria",60.3684210526316,266,2.90470973241611,60,4,"null",-1
"Actinobacteria",58.5225563909774,266,3.07660966407992,59,5,"null",-1
"Alphaproteobacteria",56.9586466165414,266,3.39619382560301,57,5,"null",-1
"Bacilli",58.6315789473684,266,3.15624253369091,59,5,"null",-1
"Betaproteobacteria",62.3796992481203,266,2.83285999623412,62,5,"null",-1
"Clostridia",62.9924812030075,266,2.84305506845837,63,5,"null",-1
"Gammaproteobacteria",60.3383458646617,266,2.92648857279824,60,5,"null",-1
"Actinobacteria",59.0714285714286,266,3.03043857411472,59,6,"null",-1
"Alphaproteobacteria",56.8947368421053,266,3.33254542160949,57,6,"null",-1
"Bacilli",58.2857142857143,266,3.32530930000516,58,6,"null",-1
"Betaproteobacteria",62.6691729323308,266,2.66131420084926,63,6,"null",-1
"Clostridia",62.6578947368421,266,3.03555560240509,63,6,"null",-1
"Gammaproteobacteria",60.1992481203008,266,3.37607556565259,61,6,"null",-1
"Actinobacteria",58.9774436090226,266,3.41686420382404,59,7,"null",-1
"Alphaproteobacteria",56.8721804511278,266,3.3956987973069,57,7,"null",-1
"Bacilli",59.015037593985,266,3.13708183690059,59,7,"null",-1
"Betaproteobacteria",62.6766917293233,266,3.08385662045984,63,7,"null",-1
"Clostridia",63.1917293233083,266,3.01644661907068,64,7,"null",-1
"Gammaproteobacteria",60.5225563909774,266,2.98446585825206,61,7,"null",-1
"Actinobacteria",58.5338345864662,266,3.30590979612002,59,8,"null",-1
"Alphaproteobacteria",56.6616541353383,266,3.48882251433489,57,8,"null",-1
"Bacilli",58.7932330827068,266,3.10059508563922,59,8,"null",-1
"Betaproteobacteria",62.4812030075188,266,2.88810574143794,63,8,"null",-1
"Clostridia",63.0451127819549,266,2.65462120853751,63,8,"null",-1
"Gammaproteobacteria",60.4398496240602,266,3.17985260960491,61,8,"null",-1
"Actinobacteria",58.5977443609023,266,3.3375839451624,59,9,"null",-1
"Alphaproteobacteria",56.8157894736842,266,3.65181458342806,57,9,"null",-1
"Bacilli",58.812030075188,266,3.35035988140694,59,9,"null",-1
"Betaproteobacteria",62.5601503759398,266,2.74414477448612,63,9,"null",-1
"Clostridia",62.9135338345865,266,2.85961554230535,63,9,"null",-1
"Gammaproteobacteria",60.4248120300752,266,3.25692078248795,61,9,"null",-1
"Actinobacteria",58.8458646616541,266,3.38736857358518,59,10,"null",-1
"Alphaproteobacteria",56.9285714285714,266,3.35994320321653,57,10,"null",-1
"Bacilli",58.5526315789474,266,3.22242329878989,59,10,"null",-1
"Betaproteobacteria",62.6278195488722,266,2.95638364971389,63,10,"null",-1
"Clostridia",63.0563909774436,266,2.88140042952017,63,10,"null",-1
"Gammaproteobacteria",60.1052631578947,266,3.14975448673591,60,10,"null",-1
"Actinobacteria",59.4360902255639,266,3.07847887813923,60,1,"null",-1
"Alphaproteobacteria",56.9736842105263,266,3.45472921117447,57,1,"null",-1
"Bacilli",58.9172932330827,266,3.48375228801589,59,1,"null",-1
"Betaproteobacteria",62.5300751879699,266,2.78964351445156,63,1,"null",-1
"Clostridia",62.6541353383459,266,2.93719186332656,63,1,"null",-1
"Gammaproteobacteria",59.5563909774436,266,3.12123230099082,60,1,"null",-1
"Actinobacteria",59.3308270676692,266,3.27764711861001,59,2,"null",-1
"Alphaproteobacteria",56.7857142857143,266,3.58970525635368,57,2,"null",-1
"Bacilli",59.0413533834586,266,3.01727423709193,59,2,"null",-1
"Betaproteobacteria",62.1052631578947,266,3.09415311763853,62,2,"null",-1
"Clostridia",62.3947368421053,266,2.85072161111384,63,2,"null",-1
"Gammaproteobacteria",60.0789473684211,266,3.22451816219905,60,2,"null",-1
"Actinobacteria",59.2368421052632,266,3.29669871885492,59,3,"null",-1
"Alphaproteobacteria",57.0902255639098,266,3.4377672583399,57,3,"null",-1
"Bacilli",59.0639097744361,266,3.4803564845793,59,3,"null",-1
"Betaproteobacteria",62.5413533834586,266,2.88786995524772,63,3,"null",-1
"Clostridia",62.6278195488722,266,2.95638364971389,63,3,"null",-1
"Gammaproteobacteria",59.8646616541353,266,3.16295050906996,60,3,"null",-1
"Actinobacteria",59.4624060150376,266,2.98684162092535,60,4,"null",-1
"Alphaproteobacteria",57.0789473684211,266,3.64113920866013,57,4,"null",-1
"Bacilli",58.8308270676692,266,3.03027940554034,59,4,"null",-1
"Betaproteobacteria",62.1654135338346,266,2.79805984298911,62,4,"null",-1
"Clostridia",62.187969924812,266,2.61245312588401,62,4,"null",-1
"Gammaproteobacteria",59.9398496240602,266,3.05363229056496,60,4,"null",-1
"Actinobacteria",59.4172932330827,266,3.20534956803662,60,5,"null",-1
"Alphaproteobacteria",56.9323308270677,266,3.54527692980511,57,5,"null",-1
"Bacilli",58.8045112781955,266,3.43227444611547,59,5,"null",-1
"Betaproteobacteria",62.1015037593985,266,2.69328963368762,62,5,"null",-1
"Clostridia",62.2518796992481,266,2.80977005716702,62,5,"null",-1
"Gammaproteobacteria",59.9285714285714,266,2.96497978429766,60,5,"null",-1
"Actinobacteria",59.6917293233083,266,3.07682868128936,60,6,"null",-1
"Alphaproteobacteria",56.6729323308271,266,3.34920160172369,57,6,"null",-1
"Bacilli",59.0601503759398,266,3.51870344581152,59,6,"null",-1
"Betaproteobacteria",62.0977443609023,266,2.97629543485423,62,6,"null",-1
"Clostridia",62.1766917293233,266,3.01736827023078,62,6,"null",-1
"Gammaproteobacteria",59.6466165413534,266,3.28793216824354,60,6,"null",-1
"Actinobacteria",59.2593984962406,266,3.26739265028976,59,7,"null",-1
"Alphaproteobacteria",56.5601503759398,266,3.39452255457644,57,7,"null",-1
"Bacilli",59.3157894736842,266,3.23744231927084,59.5,7,"null",-1
"Betaproteobacteria",62.3834586466165,266,2.94918422877659,63,7,"null",-1
"Clostridia",62.4624060150376,266,2.95125432888713,62,7,"null",-1
"Gammaproteobacteria",59.8947368421053,266,3.29267490707694,60,7,"null",-1
"Actinobacteria",59.6390977443609,266,3.38551486202262,60,8,"null",-1
"Alphaproteobacteria",56.8496240601504,266,3.56290371424823,57,8,"null",-1
"Bacilli",58.9887218045113,266,3.21374768908632,59,8,"null",-1
"Betaproteobacteria",62.3834586466165,266,2.98226659277116,63,8,"null",-1
"Clostridia",62.3684210526316,266,2.8601983945188,62.5,8,"null",-1
"Gammaproteobacteria",59.6353383458647,266,3.22000106618339,60,8,"null",-1
"Actinobacteria",59.484962406015,266,3.22164838250051,60,9,"null",-1
"Alphaproteobacteria",56.9172932330827,266,3.54708514461154,57,9,"null",-1
"Bacilli",58.8308270676692,266,3.46049795633961,59,9,"null",-1
"Betaproteobacteria",61.9360902255639,266,3.23653293057502,62,9,"null",-1
"Clostridia",62.6654135338346,266,2.80782048323612,63,9,"null",-1
"Gammaproteobacteria",60.1578947368421,266,3.05507213332537,60,9,"null",-1
"Actinobacteria",59.2631578947368,266,3.25957454531793,59.5,10,"null",-1
"Alphaproteobacteria",56.9661654135338,266,3.49700437232816,57,10,"null",-1
"Bacilli",59.015037593985,266,3.32057044975542,59,10,"null",-1
"Betaproteobacteria",62.3947368421053,266,3.01415067143453,63,10,"null",-1
"Clostridia",62.5338345864662,266,2.82989131648216,62,10,"null",-1
"Gammaproteobacteria",59.7218045112782,266,2.89919542113702,60,10,"null",-1
"Actinobacteria",58.796992481203,266,3.15931542261388,59,1,"null",-1
"Alphaproteobacteria",57.2706766917293,266,3.39728597459656,57,1,"null",-1
"Bacilli",59.4436090225564,266,3.31358218938433,59,1,"null",-1
"Betaproteobacteria",62.4172932330827,266,2.81952789513169,63,1,"null",-1
"Clostridia",63,266,2.77862460886337,63,1,"null",-1
"Gammaproteobacteria",59.1578947368421,266,3.1547319480979,59,1,"null",-1
"Actinobacteria",58.2706766917293,266,3.27051509311952,58,2,"null",-1
"Alphaproteobacteria",57.2857142857143,266,3.82557713701696,57,2,"null",-1
