"src_classLabels","mean_kDN","counts","sd_kDN","median_kDN","perm_id","model","group_sampling_id"
"Firmicutes",54.8779342723005,213,3.35116587082357,55,4,"null",-1
"Proteobacteria",53.4272300469484,213,3.63689302510729,53,4,"null",-1
"Actinobacteria",52.7746478873239,213,3.88950153145203,52,5,"null",-1
"Bacteroidetes/Chlorobi group",54.5868544600939,213,3.48693193283005,55,5,"null",-1
"Firmicutes",55.2441314553991,213,3.21648551636372,55,5,"null",-1
"Proteobacteria",53.5070422535211,213,3.94373125484868,54,5,"null",-1
"Actinobacteria",52.8075117370892,213,3.79119385613746,53,6,"null",-1
"Bacteroidetes/Chlorobi group",54.3849765258216,213,3.51038346886818,54,6,"null",-1
"Firmicutes",55.1455399061033,213,3.64490356454903,55,6,"null",-1
"Proteobacteria",53.3286384976526,213,3.39463735326898,53,6,"null",-1
"Actinobacteria",52.8591549295775,213,3.78164300414374,53,7,"null",-1
"Bacteroidetes/Chlorobi group",54.7042253521127,213,3.66160999050442,55,7,"null",-1
"Firmicutes",55.2676056338028,213,3.89347935709425,56,7,"null",-1
"Proteobacteria",53.7840375586854,213,3.70750496360915,54,7,"null",-1
"Actinobacteria",52.6291079812207,213,3.73642166277558,53,8,"null",-1
"Bacteroidetes/Chlorobi group",54.4084507042254,213,3.77145734602536,54,8,"null",-1
"Firmicutes",54.6197183098592,213,3.71521424703993,54,8,"null",-1
"Proteobacteria",53.3427230046948,213,3.49391736994538,53,8,"null",-1
"Actinobacteria",52.7230046948357,213,3.63724008796849,53,9,"null",-1
"Bacteroidetes/Chlorobi group",54.7276995305164,213,3.48596009674303,55,9,"null",-1
"Firmicutes",54.7136150234742,213,3.79270060876122,55,9,"null",-1
"Proteobacteria",53.6244131455399,213,3.8423859109781,54,9,"null",-1
"Actinobacteria",52.8450704225352,213,3.6185367390438,53,10,"null",-1
"Bacteroidetes/Chlorobi group",54.3239436619718,213,3.91335876543408,54,10,"null",-1
"Firmicutes",55,213,3.68705026038994,55,10,"null",-1
"Proteobacteria",53.4319248826291,213,3.68721843235733,53,10,"null",-1
"Actinobacteria",51.7981220657277,213,3.80436643922449,52,1,"null",-1
"Bacteroidetes/Chlorobi group",54.1173708920188,213,3.76557503169667,54,1,"null",-1
"Firmicutes",54.3474178403756,213,3.68211580366058,54,1,"null",-1
"Proteobacteria",55.9014084507042,213,3.59961317200077,56,1,"null",-1
"Actinobacteria",51.206572769953,213,3.80968898728243,51,2,"null",-1
"Bacteroidetes/Chlorobi group",54.2347417840376,213,3.49275727081361,54,2,"null",-1
"Firmicutes",54.2018779342723,213,3.8241531611749,54,2,"null",-1
"Proteobacteria",55.5727699530516,213,3.43547123029538,56,2,"null",-1
"Actinobacteria",51.6807511737089,213,3.4941265271586,52,3,"null",-1
"Bacteroidetes/Chlorobi group",54.3521126760563,213,3.78090507115103,54,3,"null",-1
"Firmicutes",54.3802816901408,213,3.63175017783969,54,3,"null",-1
"Proteobacteria",55.8591549295775,213,3.62757692913975,56,3,"null",-1
"Actinobacteria",51.4131455399061,213,3.53262636308612,51,4,"null",-1
"Bacteroidetes/Chlorobi group",54.4929577464789,213,3.62462713542341,55,4,"null",-1
"Firmicutes",54.5446009389671,213,3.85150441758521,55,4,"null",-1
"Proteobacteria",55.7464788732394,213,3.4738306429123,56,4,"null",-1
"Actinobacteria",51.3755868544601,213,3.87903961784454,51,5,"null",-1
"Bacteroidetes/Chlorobi group",53.981220657277,213,3.67803582902223,54,5,"null",-1
"Firmicutes",54.3474178403756,213,3.6641371862785,54,5,"null",-1
"Proteobacteria",55.5727699530516,213,3.394030598899,55,5,"null",-1
"Actinobacteria",51.7746478873239,213,3.90644309249038,52,6,"null",-1
"Bacteroidetes/Chlorobi group",54.0469483568075,213,3.64169416594307,54,6,"null",-1
"Firmicutes",54.1643192488263,213,3.60505987853019,54,6,"null",-1
"Proteobacteria",55.7464788732394,213,3.64737554856094,56,6,"null",-1
"Actinobacteria",51.5821596244131,213,3.65867553013071,52,7,"null",-1
"Bacteroidetes/Chlorobi group",53.9718309859155,213,3.62631302564723,54,7,"null",-1
"Firmicutes",54.3849765258216,213,3.37053822817062,54,7,"null",-1
"Proteobacteria",55.8169014084507,213,3.63282931666318,56,7,"null",-1
"Actinobacteria",51.3145539906103,213,3.8534013905318,52,8,"null",-1
"Bacteroidetes/Chlorobi group",54.3661971830986,213,3.83592540046291,55,8,"null",-1
"Firmicutes",54.7276995305164,213,3.47240236341401,55,8,"null",-1
"Proteobacteria",55.4929577464789,213,3.70315994374547,56,8,"null",-1
"Actinobacteria",51.1079812206573,213,3.79455694577641,51,9,"null",-1
"Bacteroidetes/Chlorobi group",53.7840375586854,213,3.87424108679141,54,9,"null",-1
"Firmicutes",54.5446009389671,213,4.05087126144384,55,9,"null",-1
"Proteobacteria",55.5868544600939,213,3.69576707926648,56,9,"null",-1
"Actinobacteria",51.7230046948357,213,4.05193715435075,52,10,"null",-1
"Bacteroidetes/Chlorobi group",54.1361502347418,213,4.05682027821986,54,10,"null",-1
"Firmicutes",54.6103286384977,213,3.53463808627153,55,10,"null",-1
"Proteobacteria",55.7746478873239,213,3.5149163940992,56,10,"null",-1
"Actinobacteria",50.9295774647887,213,3.99878735272582,51,1,"null",-1
"Bacteroidetes/Chlorobi group",54.2488262910798,213,3.72511377980768,54,1,"null",-1
"Firmicutes",55.4037558685446,213,3.35007532674053,55,1,"null",-1
"Proteobacteria",54.8075117370892,213,3.72086669581456,55,1,"null",-1
"Actinobacteria",50.7183098591549,213,3.83940504404181,51,2,"null",-1
"Bacteroidetes/Chlorobi group",54.3521126760563,213,3.32981921239641,54,2,"null",-1
"Firmicutes",54.8920187793427,213,3.72302653303511,55,2,"null",-1
"Proteobacteria",54.9530516431925,213,3.46378195833219,55,2,"null",-1
"Actinobacteria",50.887323943662,213,3.81858401016381,51,3,"null",-1
"Bacteroidetes/Chlorobi group",54.6901408450704,213,3.58294525190971,55,3,"null",-1
"Firmicutes",55.5117370892019,213,3.59324619177462,56,3,"null",-1
"Proteobacteria",54.5915492957746,213,3.54982379893069,55,3,"null",-1
"Actinobacteria",51.1032863849765,213,4.13437482413783,51,4,"null",-1
"Bacteroidetes/Chlorobi group",54.8169014084507,213,3.69335146857465,55,4,"null",-1
"Firmicutes",55.6291079812207,213,3.86426512486736,56,4,"null",-1
"Proteobacteria",54.8262910798122,213,3.69636025078078,55,4,"null",-1
"Actinobacteria",50.9014084507042,213,3.89903808738891,51,5,"null",-1
"Bacteroidetes/Chlorobi group",54.793427230047,213,3.6022207498659,55,5,"null",-1
"Firmicutes",55.7417840375587,213,3.08740451083391,56,5,"null",-1
"Proteobacteria",54.8826291079812,213,3.44776775452592,55,5,"null",-1
"Actinobacteria",50.793427230047,213,3.81958137469727,51,6,"null",-1
"Bacteroidetes/Chlorobi group",54.7089201877934,213,3.57530382113343,55,6,"null",-1
"Firmicutes",55.4272300469484,213,3.70372203517082,56,6,"null",-1
"Proteobacteria",54.8638497652582,213,3.52287112430403,55,6,"null",-1
"Actinobacteria",51.0516431924883,213,3.94922486118015,51,7,"null",-1
"Bacteroidetes/Chlorobi group",54.6150234741784,213,3.49016943206783,55,7,"null",-1
"Firmicutes",55.6807511737089,213,3.51565976511093,56,7,"null",-1
"Proteobacteria",54.4413145539906,213,3.61764310843718,54,7,"null",-1
"Actinobacteria",51.075117370892,213,3.6476912587523,51,8,"null",-1
"Bacteroidetes/Chlorobi group",54.6103286384977,213,3.60859644290044,55,8,"null",-1
"Firmicutes",55.5164319248826,213,3.7424089761324,56,8,"null",-1
"Proteobacteria",54.868544600939,213,3.82168542342194,55,8,"null",-1
"Actinobacteria",51.4507042253521,213,3.78473373005126,52,9,"null",-1
"Bacteroidetes/Chlorobi group",54.4460093896714,213,3.27413326279688,54,9,"null",-1
"Firmicutes",55.169014084507,213,3.48982043447726,55,9,"null",-1
"Proteobacteria",55.18779342723,213,3.78582775706754,55,9,"null",-1
"Actinobacteria",50.8967136150235,213,3.81761538947239,51,10,"null",-1
"Bacteroidetes/Chlorobi group",54.5633802816901,213,3.64872319758957,54,10,"null",-1
"Firmicutes",55.6056338028169,213,3.72578549362579,56,10,"null",-1
"Proteobacteria",54.9483568075117,213,3.4928713960106,55,10,"null",-1
"Actinobacteria",51.8075117370892,213,3.62584276554773,52,1,"null",-1
"Bacteroidetes/Chlorobi group",54.4460093896714,213,3.69384311042574,55,1,"null",-1
"Firmicutes",55.0093896713615,213,3.86199504891155,55,1,"null",-1
"Proteobacteria",54.3568075117371,213,3.6100505857455,54,1,"null",-1
"Actinobacteria",51.7605633802817,213,4.05084939403836,52,2,"null",-1
"Bacteroidetes/Chlorobi group",54.6854460093897,213,3.3994484032507,55,2,"null",-1
"Firmicutes",54.981220657277,213,3.52077719940827,55,2,"null",-1
"Proteobacteria",54.5352112676056,213,3.80601926167614,54,2,"null",-1
"Actinobacteria",51.9342723004695,213,4.18728973688197,52,3,"null",-1
"Bacteroidetes/Chlorobi group",54.6760563380282,213,3.82435583879386,55,3,"null",-1
"Firmicutes",55.1971830985916,213,3.11850707346643,55,3,"null",-1
"Proteobacteria",54.5117370892019,213,3.5984933018917,55,3,"null",-1
"Actinobacteria",52.2253521126761,213,3.4879733388064,52,4,"null",-1
"Bacteroidetes/Chlorobi group",54.5915492957746,213,3.42814707964537,54,4,"null",-1
"Firmicutes",54.8356807511737,213,3.91492597720996,55,4,"null",-1
"Proteobacteria",54.2300469483568,213,3.73517680337925,54,4,"null",-1
"Actinobacteria",52.1737089201878,213,3.85991297313241,53,5,"null",-1
"Bacteroidetes/Chlorobi group",54.849765258216,213,3.68525394549,55,5,"null",-1
"Firmicutes",55.4366197183099,213,3.87930793173628,55,5,"null",-1
"Proteobacteria",54.3427230046948,213,3.47903506781699,55,5,"null",-1
"Actinobacteria",51.6995305164319,213,3.6178083855277,52,6,"null",-1
"Bacteroidetes/Chlorobi group",54.4084507042254,213,3.68286751789935,55,6,"null",-1
"Firmicutes",55.0093896713615,213,3.80167615754866,55,6,"null",-1
"Proteobacteria",54.3802816901408,213,3.66278916245233,54,6,"null",-1
"Actinobacteria",51.9953051643192,213,3.72079527482905,52,7,"null",-1
"Bacteroidetes/Chlorobi group",54.4319248826291,213,3.53304008196141,54,7,"null",-1
"Firmicutes",55.18779342723,213,3.60194409175729,55,7,"null",-1
"Proteobacteria",54.131455399061,213,3.55039145385346,54,7,"null",-1
"Actinobacteria",52.1971830985916,213,3.83609859166784,52,8,"null",-1
"Bacteroidetes/Chlorobi group",54.3615023474178,213,3.31176029067199,55,8,"null",-1
"Firmicutes",55.1549295774648,213,3.76044916773655,55,8,"null",-1
"Proteobacteria",54.169014084507,213,3.65745264801093,54,8,"null",-1
"Actinobacteria",52.3051643192488,213,3.93050738433901,53,9,"null",-1
"Bacteroidetes/Chlorobi group",54.2910798122066,213,3.67805389197592,54,9,"null",-1
"Firmicutes",54.7746478873239,213,3.53098354636171,54,9,"null",-1
"Proteobacteria",54.4835680751174,213,3.37386772639391,54,9,"null",-1
"Actinobacteria",51.943661971831,213,3.73365869910794,52,10,"null",-1
"Bacteroidetes/Chlorobi group",54.5399061032864,213,3.92795424100685,55,10,"null",-1
"Firmicutes",55.3521126760563,213,3.55455564009975,55,10,"null",-1
"Proteobacteria",54.2206572769953,213,3.73953199825181,54,10,"null",-1
"Actinobacteria",52.0704225352113,213,4.14589115870968,52,1,"null",-1
"Bacteroidetes/Chlorobi group",54.887323943662,213,3.56958837979525,55,1,"null",-1
"Firmicutes",54.1549295774648,213,3.69209208726791,54,1,"null",-1
"Proteobacteria",54.868544600939,213,3.64090962148501,55,1,"null",-1
"Actinobacteria",51.7652582159624,213,4.12554336661275,51,2,"null",-1
"Bacteroidetes/Chlorobi group",55.2723004694836,213,3.50754346976785,56,2,"null",-1
"Firmicutes",54.0985915492958,213,3.5983025200471,54,2,"null",-1
"Proteobacteria",55.3051643192488,213,3.41138792042572,56,2,"null",-1
"Actinobacteria",51.7136150234742,213,3.80387743862432,52,3,"null",-1
"Bacteroidetes/Chlorobi group",54.9671361502347,213,3.65025842523489,55,3,"null",-1
"Firmicutes",54.1971830985916,213,3.52197837163703,54,3,"null",-1
"Proteobacteria",55.2723004694836,213,3.73295280763221,55,3,"null",-1
"Actinobacteria",51.6056338028169,213,3.83803779922579,52,4,"null",-1
"Bacteroidetes/Chlorobi group",54.9671361502347,213,3.29577341758424,55,4,"null",-1
"Firmicutes",54.0610328638498,213,3.52632055604836,54,4,"null",-1
"Proteobacteria",55.0281690140845,213,3.65223567219611,55,4,"null",-1
"Actinobacteria",51.7464788732394,213,3.9598872310719,52,5,"null",-1
"Bacteroidetes/Chlorobi group",54.9201877934272,213,3.58826914211649,55,5,"null",-1
"Firmicutes",53.9718309859155,213,3.74533104685618,54,5,"null",-1
"Proteobacteria",54.8920187793427,213,3.50640682605917,55,5,"null",-1
"Actinobacteria",51.9295774647887,213,3.74414238232368,52,6,"null",-1
"Bacteroidetes/Chlorobi group",55.1361502347418,213,3.68004027561564,55,6,"null",-1
"Firmicutes",53.8169014084507,213,3.54875686108555,54,6,"null",-1
"Proteobacteria",54.9671361502347,213,3.72825136882045,55,6,"null",-1
"Actinobacteria",51.6666666666667,213,4.09517279874395,51,7,"null",-1
"Bacteroidetes/Chlorobi group",55.075117370892,213,3.56132138534898,55,7,"null",-1
"Firmicutes",54.3755868544601,213,3.60159362764517,55,7,"null",-1
"Proteobacteria",55.1830985915493,213,3.60676719497176,55,7,"null",-1
"Actinobacteria",51.6713615023474,213,4.0100082959757,52,8,"null",-1
"Bacteroidetes/Chlorobi group",55.075117370892,213,3.40698375570398,55,8,"null",-1
"Firmicutes",53.9765258215962,213,3.84663699548549,54,8,"null",-1
"Proteobacteria",55.150234741784,213,3.49338491325871,56,8,"null",-1
"Actinobacteria",51.4553990610329,213,4.020481931053,52,9,"null",-1
"Bacteroidetes/Chlorobi group",54.9718309859155,213,3.7966165336224,55,9,"null",-1
"Firmicutes",54.1924882629108,213,3.58791734224946,54,9,"null",-1
"Proteobacteria",54.4507042253521,213,3.65410882352731,54,9,"null",-1
"Actinobacteria",51.6525821596244,213,4.12212797663027,52,10,"null",-1
"Bacteroidetes/Chlorobi group",54.8028169014084,213,3.922430843973,55,10,"null",-1
"Firmicutes",54.1784037558685,213,3.76755053882856,54,10,"null",-1
"Proteobacteria",55.0469483568075,213,3.68290960936005,55,10,"null",-1
"Actinobacteria",51.9389671361502,213,3.84131375716568,52,1,"null",-1
"Bacteroidetes/Chlorobi group",55.4647887323944,213,3.75234889674339,56,1,"null",-1
"Firmicutes",54.6431924882629,213,3.48912233457121,55,1,"null",-1
"Proteobacteria",53.7089201877934,213,3.41745867985344,54,1,"null",-1
